"OBJECTID","Season_longshort","DEM_IA","TPI_IA","Slope_IA","d2water_IA","d2edge_IA","d2Landfills_IA","d2Feedlots_IA","d2streets","d2nestsV2_IA","northness","month_factor","risk_class","risk_name","validation_set"
2095079,"Local movements",249.08,-0.13,0.2,329.09,273.95,11624.29,1906.5,229.27,10723.38,-0.5965565,"Mar",1,"Moderate","Train"
2387461,"Local movements",179.56,-0.16,0.4,33.93,-26.01,21074.19,7832.41,66.07,421.28,-0.7828317,"Apr",2,"High","Train"
1035063,"Dispersal/migration",291.34,-1.77,3.25,148.01,26.53,17119.88,3862.94,221.36,4181.69,-0.797046640792012,"Apr",0,"Low","Train"
2413766,"Local movements",252.35,0.13,0.6,35.48,-104.91,10901.85,9376.45,1073.55,1788,-0.776570283533293,"Apr",2,"High","Test"
236518,"Fledgling period",214.82,-0.23,17.92,124.8,-66.44,16435.69,4158.81,271.34,403.26,-0.0691484486540619,"Jul",2,"High","Train"
2155534,"Local movements",232.33,-1.99,7.29,261.33,-209.35,5844.23,13083.06,327.92,1486.49,-0.917754505966276,"Mar",0,"Low","Train"
1941809,"Local movements",253.96,-0.37,0.78,156.94,17.99,10688.52,3001.94,518.88,6057.35,-0.936456687290796,"Mar",2,"High","Test"
1857800,"Local movements",207.09,-0.08,0.19,492.62,224.92,15755.94,920.89,194.08,3458.75,-0.99999873172754,"Jan",2,"High","Train"
1554539,"Dispersal/migration",230,-2.57,5.13,42.23,15.98,21171.58,2470.21,576.52,716.99,0.581683089463884,"Aug",2,"High","Train"
378641,"Local movements",189.64,-0.62,8.63,442.34,-6.15,14719.02,1239.92,228.66,1572.05,0.235381442954451,"Aug",2,"High","Train"
1040004,"Local movements",227.72,-0.1,0.54,89.09,-26.65,10325.4,4238.27,75.41,560.42,-0.942222340668658,"Mar",2,"High","Train"
1225887,"Dispersal/migration",295.06,0.01,0.6,98.2,35.56,8896.48,2033.12,202.65,3367.83,-0.803045865669731,"Aug",0,"Low","Train"
1310888,"Fledgling period",233.66,-0.49,7.77,26.75,9.52,13675.29,6287.97,230.92,618.8,0.441806190305705,"Aug",2,"High","Train"
1005738,"Local movements",304.72,0.11,0.54,531.76,469.64,17267.62,2839.38,1.41,743.42,-0.881582195878286,"Sep",2,"High","Train"
128181,"Dispersal/migration",240.93,-0.02,0.12,33.01,170.77,12540.04,7728.43,310.88,1221.24,-0.363841709676858,"Aug",2,"High","Train"
1229613,"Dispersal/migration",271.82,0.17,1.04,537.04,-59.17,8182.92,7114.14,499.82,2714.36,0.736317001920619,"Aug",2,"High","Train"
2295307,"Local movements",292.88,-0.35,1.13,1758.79,397.45,13555.53,469.62,348.25,10880.28,-0.789014747229531,"Apr",0,"Low","Train"
2487068,"Local movements",244.63,0.61,2.84,1643.95,36.46,17195.57,2908.84,157.91,4753.84,-0.690651096560508,"May",0,"Low","Test"
638951,"Local movements",258.44,-0.87,5.35,2050.07,318.96,1552.87,11636.82,85.37,5880.34,-0.683384803583336,"May",2,"High","Test"
2281573,"Local movements",332.61,0.55,1.27,1102.21,170.85,8084.98,2996.19,60.52,6700.83,0.245088542691362,"Apr",0,"Low","Test"
